Post Date,Title
112-09-20,112學年「大專校院公務統計報表網路報送作業」上線
112-08-07,「111學年教育資源投入統計結果」提要分析
112-06-30,「Education in Taiwan (2023-2024)」出刊
112-05-19,「原住民族教育概況統計」提要分析
112-05-15,「110學年高級中等學校應屆畢業生升學就業概況調查」提要分析
112-04-17,111學年「教育消費支出調查」自即日起展開，敬請支持配合！
112-04-10,「專業培育、偏遠地區教育、實驗教育及在學率概況」提要分析
112-03-15,「111學年學校基本概況統計結果」提要分析
112-01-31,.xlsx
111-11-28,「各級學校新住民子女就學概況」提要分析
111-10-05,111年版「教育統計指標之國際比較」電子書出刊
111-09-16,111學年「大專校院公務統計報表網路報送作業」上線
111-09-02,「聯合國永續發展目標─教育統計指標」提要分析
111-06-30,「Education in Taiwan (2022-2023)」出刊
